library_id,namespace,meta,proj,release,release_id,max_cvss,cve_count
maven|ch.qos.logback|logback-classic|0.9.10,maven,ch.qos.logback,logback-classic,0.9.10,1018,9.8,2
maven|ch.qos.logback|logback-classic|0.9.11,maven,ch.qos.logback,logback-classic,0.9.11,1019,9.8,2
maven|ch.qos.logback|logback-classic|0.9.12,maven,ch.qos.logback,logback-classic,0.9.12,1020,9.8,2
maven|ch.qos.logback|logback-classic|0.9.13,maven,ch.qos.logback,logback-classic,0.9.13,1021,9.8,2
maven|ch.qos.logback|logback-classic|0.9.14,maven,ch.qos.logback,logback-classic,0.9.14,1022,9.8,2
maven|ch.qos.logback|logback-classic|0.9.15,maven,ch.qos.logback,logback-classic,0.9.15,1023,9.8,2
maven|ch.qos.logback|logback-classic|0.9.16,maven,ch.qos.logback,logback-classic,0.9.16,1024,9.8,2
maven|ch.qos.logback|logback-classic|0.9.17,maven,ch.qos.logback,logback-classic,0.9.17,1025,9.8,2
maven|ch.qos.logback|logback-classic|0.9.18,maven,ch.qos.logback,logback-classic,0.9.18,1026,9.8,2
maven|ch.qos.logback|logback-classic|0.9.19,maven,ch.qos.logback,logback-classic,0.9.19,1027,9.8,2
maven|ch.qos.logback|logback-classic|0.9.20,maven,ch.qos.logback,logback-classic,0.9.20,1028,9.8,2
maven|ch.qos.logback|logback-classic|0.9.21,maven,ch.qos.logback,logback-classic,0.9.21,1029,9.8,2
maven|ch.qos.logback|logback-classic|0.9.22,maven,ch.qos.logback,logback-classic,0.9.22,1030,9.8,2
maven|ch.qos.logback|logback-classic|0.9.23,maven,ch.qos.logback,logback-classic,0.9.23,1031,9.8,2
maven|ch.qos.logback|logback-classic|0.9.24,maven,ch.qos.logback,logback-classic,0.9.24,1032,9.8,2
maven|ch.qos.logback|logback-classic|0.9.25,maven,ch.qos.logback,logback-classic,0.9.25,1033,9.8,2
maven|ch.qos.logback|logback-classic|0.9.26,maven,ch.qos.logback,logback-classic,0.9.26,1034,9.8,2
maven|ch.qos.logback|logback-classic|0.9.27,maven,ch.qos.logback,logback-classic,0.9.27,1035,9.8,2
maven|ch.qos.logback|logback-classic|0.9.28,maven,ch.qos.logback,logback-classic,0.9.28,1036,9.8,2
maven|ch.qos.logback|logback-classic|0.9.29,maven,ch.qos.logback,logback-classic,0.9.29,1037,9.8,2
maven|ch.qos.logback|logback-classic|0.9.30,maven,ch.qos.logback,logback-classic,0.9.30,1038,9.8,2
maven|ch.qos.logback|logback-classic|1.0.0,maven,ch.qos.logback,logback-classic,1.0.0,1039,9.8,2
maven|ch.qos.logback|logback-classic|1.0.1,maven,ch.qos.logback,logback-classic,1.0.1,1040,9.8,2
maven|ch.qos.logback|logback-classic|1.0.2,maven,ch.qos.logback,logback-classic,1.0.2,1041,9.8,2
maven|ch.qos.logback|logback-classic|1.0.3,maven,ch.qos.logback,logback-classic,1.0.3,1042,9.8,2
maven|ch.qos.logback|logback-classic|1.0.4,maven,ch.qos.logback,logback-classic,1.0.4,1043,9.8,2
maven|ch.qos.logback|logback-classic|1.0.5,maven,ch.qos.logback,logback-classic,1.0.5,1044,9.8,2
maven|ch.qos.logback|logback-classic|1.0.6,maven,ch.qos.logback,logback-classic,1.0.6,1045,9.8,2
maven|ch.qos.logback|logback-classic|1.0.7,maven,ch.qos.logback,logback-classic,1.0.7,1046,9.8,2
maven|ch.qos.logback|logback-classic|1.0.8,maven,ch.qos.logback,logback-classic,1.0.8,1047,9.8,2
maven|ch.qos.logback|logback-classic|1.0.9,maven,ch.qos.logback,logback-classic,1.0.9,1048,9.8,2
maven|ch.qos.logback|logback-classic|1.0.10,maven,ch.qos.logback,logback-classic,1.0.10,1049,9.8,2
maven|ch.qos.logback|logback-classic|1.0.11,maven,ch.qos.logback,logback-classic,1.0.11,1050,9.8,2
maven|ch.qos.logback|logback-classic|1.0.12,maven,ch.qos.logback,logback-classic,1.0.12,1051,9.8,2
maven|ch.qos.logback|logback-classic|1.0.13,maven,ch.qos.logback,logback-classic,1.0.13,1052,9.8,2
maven|ch.qos.logback|logback-classic|1.1.0,maven,ch.qos.logback,logback-classic,1.1.0,1053,9.8,2
maven|ch.qos.logback|logback-classic|1.1.1,maven,ch.qos.logback,logback-classic,1.1.1,1054,9.8,2
maven|ch.qos.logback|logback-classic|1.1.2,maven,ch.qos.logback,logback-classic,1.1.2,1055,9.8,2
maven|ch.qos.logback|logback-classic|1.1.3,maven,ch.qos.logback,logback-classic,1.1.3,1056,9.8,2
maven|ch.qos.logback|logback-classic|1.1.4,maven,ch.qos.logback,logback-classic,1.1.4,1057,9.8,2
maven|ch.qos.logback|logback-classic|1.1.5,maven,ch.qos.logback,logback-classic,1.1.5,1058,9.8,2
maven|ch.qos.logback|logback-classic|1.1.6,maven,ch.qos.logback,logback-classic,1.1.6,1059,9.8,2
maven|ch.qos.logback|logback-classic|1.1.7,maven,ch.qos.logback,logback-classic,1.1.7,1060,9.8,2
maven|ch.qos.logback|logback-classic|1.1.8,maven,ch.qos.logback,logback-classic,1.1.8,1061,9.8,2
maven|ch.qos.logback|logback-classic|1.1.9,maven,ch.qos.logback,logback-classic,1.1.9,1062,9.8,2
maven|ch.qos.logback|logback-classic|1.1.10,maven,ch.qos.logback,logback-classic,1.1.10,1063,9.8,2
maven|ch.qos.logback|logback-classic|1.1.11,maven,ch.qos.logback,logback-classic,1.1.11,1064,9.8,2
maven|ch.qos.logback|logback-classic|1.2.0,maven,ch.qos.logback,logback-classic,1.2.0,1065,7.0,1
maven|ch.qos.logback|logback-classic|1.2.1,maven,ch.qos.logback,logback-classic,1.2.1,1066,7.0,1
maven|ch.qos.logback|logback-classic|1.2.2,maven,ch.qos.logback,logback-classic,1.2.2,1067,7.0,1
maven|ch.qos.logback|logback-classic|1.2.3,maven,ch.qos.logback,logback-classic,1.2.3,1068,7.0,1
maven|ch.qos.logback|logback-classic|1.2.4,maven,ch.qos.logback,logback-classic,1.2.4,1069,7.0,1
maven|ch.qos.logback|logback-classic|1.2.4-groovyless,maven,ch.qos.logback,logback-classic,1.2.4-groovyless,1070,7.0,1
maven|ch.qos.logback|logback-classic|1.2.5,maven,ch.qos.logback,logback-classic,1.2.5,1071,7.0,1
maven|ch.qos.logback|logback-classic|1.2.6,maven,ch.qos.logback,logback-classic,1.2.6,1072,7.0,1
maven|ch.qos.logback|logback-classic|1.2.7,maven,ch.qos.logback,logback-classic,1.2.7,1073,7.0,1
maven|ch.qos.logback|logback-classic|1.2.8,maven,ch.qos.logback,logback-classic,1.2.8,1074,7.0,1
maven|ch.qos.logback|logback-classic|1.2.9,maven,ch.qos.logback,logback-classic,1.2.9,1075,7.0,1
maven|ch.qos.logback|logback-classic|1.2.10,maven,ch.qos.logback,logback-classic,1.2.10,1076,7.0,1
maven|ch.qos.logback|logback-classic|1.2.11,maven,ch.qos.logback,logback-classic,1.2.11,1077,7.0,1
maven|ch.qos.logback|logback-classic|1.2.12,maven,ch.qos.logback,logback-classic,1.2.12,1078,7.0,1
maven|ch.qos.logback|logback-classic|1.3.0,maven,ch.qos.logback,logback-classic,1.3.0,1079,7.0,1
maven|ch.qos.logback|logback-classic|1.3.1,maven,ch.qos.logback,logback-classic,1.3.1,1080,7.0,1
maven|ch.qos.logback|logback-classic|1.3.2,maven,ch.qos.logback,logback-classic,1.3.2,1081,7.0,1
maven|ch.qos.logback|logback-classic|1.3.3,maven,ch.qos.logback,logback-classic,1.3.3,1082,7.0,1
maven|ch.qos.logback|logback-classic|1.3.4,maven,ch.qos.logback,logback-classic,1.3.4,1083,7.0,1
maven|ch.qos.logback|logback-classic|1.3.5,maven,ch.qos.logback,logback-classic,1.3.5,1084,7.0,1
maven|ch.qos.logback|logback-classic|1.3.6,maven,ch.qos.logback,logback-classic,1.3.6,1085,7.0,1
maven|ch.qos.logback|logback-classic|1.3.7,maven,ch.qos.logback,logback-classic,1.3.7,1086,7.0,1
maven|ch.qos.logback|logback-classic|1.3.8,maven,ch.qos.logback,logback-classic,1.3.8,1087,7.0,1
maven|ch.qos.logback|logback-classic|1.3.9,maven,ch.qos.logback,logback-classic,1.3.9,1088,7.0,1
maven|ch.qos.logback|logback-classic|1.3.10,maven,ch.qos.logback,logback-classic,1.3.10,1089,7.0,1
maven|ch.qos.logback|logback-classic|1.3.11,maven,ch.qos.logback,logback-classic,1.3.11,1090,7.0,1
maven|ch.qos.logback|logback-classic|1.4.0,maven,ch.qos.logback,logback-classic,1.4.0,1091,7.0,1
maven|ch.qos.logback|logback-classic|1.4.1,maven,ch.qos.logback,logback-classic,1.4.1,1092,7.0,1
maven|ch.qos.logback|logback-classic|1.4.2,maven,ch.qos.logback,logback-classic,1.4.2,1093,7.0,1
maven|ch.qos.logback|logback-classic|1.4.3,maven,ch.qos.logback,logback-classic,1.4.3,1094,7.0,1
maven|ch.qos.logback|logback-classic|1.4.4,maven,ch.qos.logback,logback-classic,1.4.4,1095,7.0,1
maven|ch.qos.logback|logback-classic|1.4.5,maven,ch.qos.logback,logback-classic,1.4.5,1096,7.0,1
maven|ch.qos.logback|logback-classic|1.4.6,maven,ch.qos.logback,logback-classic,1.4.6,1097,7.0,1
maven|ch.qos.logback|logback-classic|1.4.7,maven,ch.qos.logback,logback-classic,1.4.7,1098,7.0,1
maven|ch.qos.logback|logback-classic|1.4.8,maven,ch.qos.logback,logback-classic,1.4.8,1099,7.0,1
maven|ch.qos.logback|logback-classic|1.4.9,maven,ch.qos.logback,logback-classic,1.4.9,1100,7.0,1
maven|ch.qos.logback|logback-classic|1.4.10,maven,ch.qos.logback,logback-classic,1.4.10,1101,7.0,1
maven|ch.qos.logback|logback-classic|1.4.11,maven,ch.qos.logback,logback-classic,1.4.11,1102,7.0,1
maven|ch.qos.logback|logback-core|0.2.5,maven,ch.qos.logback,logback-core,0.2.5,1103,9.8,7
maven|ch.qos.logback|logback-core|0.3,maven,ch.qos.logback,logback-core,0.3,1104,9.8,7
maven|ch.qos.logback|logback-core|0.5,maven,ch.qos.logback,logback-core,0.5,1105,9.8,7
maven|ch.qos.logback|logback-core|0.6,maven,ch.qos.logback,logback-core,0.6,1106,9.8,7
maven|ch.qos.logback|logback-core|0.7,maven,ch.qos.logback,logback-core,0.7,1107,9.8,7
maven|ch.qos.logback|logback-core|0.7.1,maven,ch.qos.logback,logback-core,0.7.1,1108,9.8,7
maven|ch.qos.logback|logback-core|0.8,maven,ch.qos.logback,logback-core,0.8,1109,9.8,7
maven|ch.qos.logback|logback-core|0.8.1,maven,ch.qos.logback,logback-core,0.8.1,1110,9.8,7
maven|ch.qos.logback|logback-core|0.9,maven,ch.qos.logback,logback-core,0.9,1111,9.8,7
maven|ch.qos.logback|logback-core|0.9.1,maven,ch.qos.logback,logback-core,0.9.1,1112,9.8,7
maven|ch.qos.logback|logback-core|0.9.2,maven,ch.qos.logback,logback-core,0.9.2,1113,9.8,7
maven|ch.qos.logback|logback-core|0.9.3,maven,ch.qos.logback,logback-core,0.9.3,1114,9.8,7
maven|ch.qos.logback|logback-core|0.9.4,maven,ch.qos.logback,logback-core,0.9.4,1115,9.8,7
maven|ch.qos.logback|logback-core|0.9.5,maven,ch.qos.logback,logback-core,0.9.5,1116,9.8,7
maven|ch.qos.logback|logback-core|0.9.6,maven,ch.qos.logback,logback-core,0.9.6,1117,9.8,7
maven|ch.qos.logback|logback-core|0.9.7,maven,ch.qos.logback,logback-core,0.9.7,1118,9.8,7
maven|ch.qos.logback|logback-core|0.9.8,maven,ch.qos.logback,logback-core,0.9.8,1119,9.8,7
maven|ch.qos.logback|logback-core|0.9.9,maven,ch.qos.logback,logback-core,0.9.9,1120,9.8,7
maven|ch.qos.logback|logback-core|0.9.10,maven,ch.qos.logback,logback-core,0.9.10,1121,9.8,7
maven|ch.qos.logback|logback-core|0.9.11,maven,ch.qos.logback,logback-core,0.9.11,1122,9.8,7
maven|ch.qos.logback|logback-core|0.9.12,maven,ch.qos.logback,logback-core,0.9.12,1123,9.8,7
maven|ch.qos.logback|logback-core|0.9.13,maven,ch.qos.logback,logback-core,0.9.13,1124,9.8,7
maven|ch.qos.logback|logback-core|0.9.14,maven,ch.qos.logback,logback-core,0.9.14,1125,9.8,7
maven|ch.qos.logback|logback-core|0.9.15,maven,ch.qos.logback,logback-core,0.9.15,1126,9.8,7
maven|ch.qos.logback|logback-core|0.9.16,maven,ch.qos.logback,logback-core,0.9.16,1127,9.8,7
maven|ch.qos.logback|logback-core|0.9.17,maven,ch.qos.logback,logback-core,0.9.17,1128,9.8,7
maven|ch.qos.logback|logback-core|0.9.18,maven,ch.qos.logback,logback-core,0.9.18,1129,9.8,7
maven|ch.qos.logback|logback-core|0.9.19,maven,ch.qos.logback,logback-core,0.9.19,1130,9.8,7
maven|ch.qos.logback|logback-core|0.9.20,maven,ch.qos.logback,logback-core,0.9.20,1131,9.8,7
maven|ch.qos.logback|logback-core|0.9.21,maven,ch.qos.logback,logback-core,0.9.21,1132,9.8,7
maven|ch.qos.logback|logback-core|0.9.22,maven,ch.qos.logback,logback-core,0.9.22,1133,9.8,7
maven|ch.qos.logback|logback-core|0.9.23,maven,ch.qos.logback,logback-core,0.9.23,1134,9.8,7
maven|ch.qos.logback|logback-core|0.9.24,maven,ch.qos.logback,logback-core,0.9.24,1135,9.8,7
maven|ch.qos.logback|logback-core|0.9.25,maven,ch.qos.logback,logback-core,0.9.25,1136,9.8,7
maven|ch.qos.logback|logback-core|0.9.26,maven,ch.qos.logback,logback-core,0.9.26,1137,9.8,7
maven|ch.qos.logback|logback-core|0.9.27,maven,ch.qos.logback,logback-core,0.9.27,1138,9.8,7
maven|ch.qos.logback|logback-core|0.9.28,maven,ch.qos.logback,logback-core,0.9.28,1139,9.8,7
maven|ch.qos.logback|logback-core|0.9.29,maven,ch.qos.logback,logback-core,0.9.29,1140,9.8,7
maven|ch.qos.logback|logback-core|0.9.30,maven,ch.qos.logback,logback-core,0.9.30,1141,9.8,7
maven|ch.qos.logback|logback-core|1.0.0,maven,ch.qos.logback,logback-core,1.0.0,1142,9.8,7
maven|ch.qos.logback|logback-core|1.0.1,maven,ch.qos.logback,logback-core,1.0.1,1143,9.8,7
maven|ch.qos.logback|logback-core|1.0.2,maven,ch.qos.logback,logback-core,1.0.2,1144,9.8,7
maven|ch.qos.logback|logback-core|1.0.3,maven,ch.qos.logback,logback-core,1.0.3,1145,9.8,7
maven|ch.qos.logback|logback-core|1.0.4,maven,ch.qos.logback,logback-core,1.0.4,1146,9.8,7
maven|ch.qos.logback|logback-core|1.0.5,maven,ch.qos.logback,logback-core,1.0.5,1147,9.8,7
maven|ch.qos.logback|logback-core|1.0.6,maven,ch.qos.logback,logback-core,1.0.6,1148,9.8,7
maven|ch.qos.logback|logback-core|1.0.7,maven,ch.qos.logback,logback-core,1.0.7,1149,9.8,7
maven|ch.qos.logback|logback-core|1.0.8,maven,ch.qos.logback,logback-core,1.0.8,1150,9.8,7
maven|ch.qos.logback|logback-core|1.0.9,maven,ch.qos.logback,logback-core,1.0.9,1151,9.8,7
maven|ch.qos.logback|logback-core|1.0.10,maven,ch.qos.logback,logback-core,1.0.10,1152,9.8,7
maven|ch.qos.logback|logback-core|1.0.11,maven,ch.qos.logback,logback-core,1.0.11,1153,9.8,7
maven|ch.qos.logback|logback-core|1.0.12,maven,ch.qos.logback,logback-core,1.0.12,1154,9.8,7
maven|ch.qos.logback|logback-core|1.0.13,maven,ch.qos.logback,logback-core,1.0.13,1155,9.8,7
maven|ch.qos.logback|logback-core|1.1.0,maven,ch.qos.logback,logback-core,1.1.0,1156,9.8,7
maven|ch.qos.logback|logback-core|1.1.1,maven,ch.qos.logback,logback-core,1.1.1,1157,9.8,7
maven|ch.qos.logback|logback-core|1.1.2,maven,ch.qos.logback,logback-core,1.1.2,1158,9.8,7
maven|ch.qos.logback|logback-core|1.1.3,maven,ch.qos.logback,logback-core,1.1.3,1159,9.8,7
maven|ch.qos.logback|logback-core|1.1.4,maven,ch.qos.logback,logback-core,1.1.4,1160,9.8,7
maven|ch.qos.logback|logback-core|1.1.5,maven,ch.qos.logback,logback-core,1.1.5,1161,9.8,7
maven|ch.qos.logback|logback-core|1.1.6,maven,ch.qos.logback,logback-core,1.1.6,1162,9.8,7
maven|ch.qos.logback|logback-core|1.1.7,maven,ch.qos.logback,logback-core,1.1.7,1163,9.8,7
maven|ch.qos.logback|logback-core|1.1.8,maven,ch.qos.logback,logback-core,1.1.8,1164,9.8,7
maven|ch.qos.logback|logback-core|1.1.9,maven,ch.qos.logback,logback-core,1.1.9,1165,9.8,7
maven|ch.qos.logback|logback-core|1.1.10,maven,ch.qos.logback,logback-core,1.1.10,1166,9.8,7
maven|ch.qos.logback|logback-core|1.1.11,maven,ch.qos.logback,logback-core,1.1.11,1167,9.8,7
maven|ch.qos.logback|logback-core|1.2.0,maven,ch.qos.logback,logback-core,1.2.0,1168,7.0,6
maven|ch.qos.logback|logback-core|1.2.1,maven,ch.qos.logback,logback-core,1.2.1,1169,7.0,6
maven|ch.qos.logback|logback-core|1.2.2,maven,ch.qos.logback,logback-core,1.2.2,1170,7.0,6
maven|ch.qos.logback|logback-core|1.2.3,maven,ch.qos.logback,logback-core,1.2.3,1171,7.0,6
maven|ch.qos.logback|logback-core|1.2.4,maven,ch.qos.logback,logback-core,1.2.4,1172,7.0,6
maven|ch.qos.logback|logback-core|1.2.4-groovyless,maven,ch.qos.logback,logback-core,1.2.4-groovyless,1173,7.0,6
maven|ch.qos.logback|logback-core|1.2.5,maven,ch.qos.logback,logback-core,1.2.5,1174,7.0,6
maven|ch.qos.logback|logback-core|1.2.6,maven,ch.qos.logback,logback-core,1.2.6,1175,7.0,6
maven|ch.qos.logback|logback-core|1.2.7,maven,ch.qos.logback,logback-core,1.2.7,1176,7.0,6
maven|ch.qos.logback|logback-core|1.2.8,maven,ch.qos.logback,logback-core,1.2.8,1177,7.0,6
maven|ch.qos.logback|logback-core|1.2.9,maven,ch.qos.logback,logback-core,1.2.9,1178,7.0,5
maven|ch.qos.logback|logback-core|1.2.10,maven,ch.qos.logback,logback-core,1.2.10,1179,7.0,5
maven|ch.qos.logback|logback-core|1.2.11,maven,ch.qos.logback,logback-core,1.2.11,1180,7.0,5
maven|ch.qos.logback|logback-core|1.2.12,maven,ch.qos.logback,logback-core,1.2.12,1181,7.0,6
maven|ch.qos.logback|logback-core|1.2.13,maven,ch.qos.logback,logback-core,1.2.13,1182,0.0,4
maven|ch.qos.logback|logback-core|1.3.0,maven,ch.qos.logback,logback-core,1.3.0,1183,7.0,5
maven|ch.qos.logback|logback-core|1.3.0-alpha0,maven,ch.qos.logback,logback-core,1.3.0-alpha0,1184,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-beta0,maven,ch.qos.logback,logback-core,1.3.0-beta0,1185,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha1,maven,ch.qos.logback,logback-core,1.3.0-alpha1,1186,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha2,maven,ch.qos.logback,logback-core,1.3.0-alpha2,1187,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha3,maven,ch.qos.logback,logback-core,1.3.0-alpha3,1188,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha4,maven,ch.qos.logback,logback-core,1.3.0-alpha4,1189,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha5,maven,ch.qos.logback,logback-core,1.3.0-alpha5,1190,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha6,maven,ch.qos.logback,logback-core,1.3.0-alpha6,1191,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha7,maven,ch.qos.logback,logback-core,1.3.0-alpha7,1192,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha8,maven,ch.qos.logback,logback-core,1.3.0-alpha8,1193,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha9,maven,ch.qos.logback,logback-core,1.3.0-alpha9,1194,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha10,maven,ch.qos.logback,logback-core,1.3.0-alpha10,1195,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha11,maven,ch.qos.logback,logback-core,1.3.0-alpha11,1196,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha12,maven,ch.qos.logback,logback-core,1.3.0-alpha12,1197,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha13,maven,ch.qos.logback,logback-core,1.3.0-alpha13,1198,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha14,maven,ch.qos.logback,logback-core,1.3.0-alpha14,1199,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha15,maven,ch.qos.logback,logback-core,1.3.0-alpha15,1200,0.0,4
maven|ch.qos.logback|logback-core|1.3.0-alpha16,maven,ch.qos.logback,logback-core,1.3.0-alpha16,1201,0.0,4
maven|ch.qos.logback|logback-core|1.3.1,maven,ch.qos.logback,logback-core,1.3.1,1202,7.0,5
maven|ch.qos.logback|logback-core|1.3.2,maven,ch.qos.logback,logback-core,1.3.2,1203,7.0,5
maven|ch.qos.logback|logback-core|1.3.3,maven,ch.qos.logback,logback-core,1.3.3,1204,7.0,5
maven|ch.qos.logback|logback-core|1.3.4,maven,ch.qos.logback,logback-core,1.3.4,1205,7.0,5
maven|ch.qos.logback|logback-core|1.3.5,maven,ch.qos.logback,logback-core,1.3.5,1206,7.0,5
maven|ch.qos.logback|logback-core|1.3.6,maven,ch.qos.logback,logback-core,1.3.6,1207,7.0,5
maven|ch.qos.logback|logback-core|1.3.7,maven,ch.qos.logback,logback-core,1.3.7,1208,7.0,5
maven|ch.qos.logback|logback-core|1.3.8,maven,ch.qos.logback,logback-core,1.3.8,1209,7.0,5
maven|ch.qos.logback|logback-core|1.3.9,maven,ch.qos.logback,logback-core,1.3.9,1210,7.0,5
maven|ch.qos.logback|logback-core|1.3.10,maven,ch.qos.logback,logback-core,1.3.10,1211,7.0,5
maven|ch.qos.logback|logback-core|1.3.11,maven,ch.qos.logback,logback-core,1.3.11,1212,7.0,5
maven|ch.qos.logback|logback-core|1.3.12,maven,ch.qos.logback,logback-core,1.3.12,1213,0.0,4
maven|ch.qos.logback|logback-core|1.3.13,maven,ch.qos.logback,logback-core,1.3.13,1214,7.0,5
maven|ch.qos.logback|logback-core|1.3.14,maven,ch.qos.logback,logback-core,1.3.14,1215,0.0,4
maven|ch.qos.logback|logback-core|1.3.15,maven,ch.qos.logback,logback-core,1.3.15,1216,0.0,2
maven|ch.qos.logback|logback-core|1.3.16,maven,ch.qos.logback,logback-core,1.3.16,1217,0.0,1
maven|ch.qos.logback|logback-core|1.4.0,maven,ch.qos.logback,logback-core,1.4.0,1218,7.0,5
maven|ch.qos.logback|logback-core|1.4.1,maven,ch.qos.logback,logback-core,1.4.1,1219,7.0,5
maven|ch.qos.logback|logback-core|1.4.2,maven,ch.qos.logback,logback-core,1.4.2,1220,7.0,5
maven|ch.qos.logback|logback-core|1.4.3,maven,ch.qos.logback,logback-core,1.4.3,1221,7.0,5
maven|ch.qos.logback|logback-core|1.4.4,maven,ch.qos.logback,logback-core,1.4.4,1222,7.0,5
maven|ch.qos.logback|logback-core|1.4.5,maven,ch.qos.logback,logback-core,1.4.5,1223,7.0,5
maven|ch.qos.logback|logback-core|1.4.6,maven,ch.qos.logback,logback-core,1.4.6,1224,7.0,5
maven|ch.qos.logback|logback-core|1.4.7,maven,ch.qos.logback,logback-core,1.4.7,1225,7.0,5
maven|ch.qos.logback|logback-core|1.4.8,maven,ch.qos.logback,logback-core,1.4.8,1226,7.0,5
maven|ch.qos.logback|logback-core|1.4.9,maven,ch.qos.logback,logback-core,1.4.9,1227,7.0,5
maven|ch.qos.logback|logback-core|1.4.10,maven,ch.qos.logback,logback-core,1.4.10,1228,7.0,5
maven|ch.qos.logback|logback-core|1.4.11,maven,ch.qos.logback,logback-core,1.4.11,1229,7.0,5
maven|ch.qos.logback|logback-core|1.4.12,maven,ch.qos.logback,logback-core,1.4.12,1230,0.0,4
maven|ch.qos.logback|logback-core|1.4.13,maven,ch.qos.logback,logback-core,1.4.13,1231,7.0,5
maven|ch.qos.logback|logback-core|1.4.14,maven,ch.qos.logback,logback-core,1.4.14,1232,0.0,4
maven|ch.qos.logback|logback-core|1.5.0,maven,ch.qos.logback,logback-core,1.5.0,1233,0.0,4
maven|ch.qos.logback|logback-core|1.5.1,maven,ch.qos.logback,logback-core,1.5.1,1234,0.0,4
maven|ch.qos.logback|logback-core|1.5.2,maven,ch.qos.logback,logback-core,1.5.2,1235,0.0,4
maven|ch.qos.logback|logback-core|1.5.3,maven,ch.qos.logback,logback-core,1.5.3,1236,0.0,4
maven|ch.qos.logback|logback-core|1.5.4,maven,ch.qos.logback,logback-core,1.5.4,1237,0.0,4
maven|ch.qos.logback|logback-core|1.5.5,maven,ch.qos.logback,logback-core,1.5.5,1238,0.0,4
maven|ch.qos.logback|logback-core|1.5.6,maven,ch.qos.logback,logback-core,1.5.6,1239,0.0,4
maven|ch.qos.logback|logback-core|1.5.7,maven,ch.qos.logback,logback-core,1.5.7,1240,0.0,4
maven|ch.qos.logback|logback-core|1.5.8,maven,ch.qos.logback,logback-core,1.5.8,1241,0.0,4
maven|ch.qos.logback|logback-core|1.5.9,maven,ch.qos.logback,logback-core,1.5.9,1242,0.0,4
maven|ch.qos.logback|logback-core|1.5.10,maven,ch.qos.logback,logback-core,1.5.10,1243,0.0,4
maven|ch.qos.logback|logback-core|1.5.11,maven,ch.qos.logback,logback-core,1.5.11,1244,0.0,4
maven|ch.qos.logback|logback-core|1.5.12,maven,ch.qos.logback,logback-core,1.5.12,1245,0.0,4
